Member_ID,Join_Date,Gender,Age,Membership_Type,Tenure_Months,Avg_Visits_Per_Week,Last_Visit_Date,Days_Since_Last_Visit,Monthly_Fee,Total_Revenue
M00031,2023-07-09,Male,33,Standard,19,2.76,2025-01-19,13,40,760
M00032,2022-05-17,Female,25,Premium,33,2.73,2025-01-18,14,60,1980
M00033,2023-04-04,Male,47,Premium,22,4.93,2025-01-24,8,60,1320
M00034,2023-03-30,Male,43,Weekend,23,1.76,2025-01-19,13,25,575
M00035,2022-01-08,Male,41,Weekend,37,2.47,2025-01-15,17,25,925
M00036,2022-06-04,Male,44,Weekend,32,1.18,2025-01-21,11,25,800
M00037,2022-01-07,Male,32,Premium,37,4.93,2025-01-30,2,60,2220
M00038,2024-10-20,Male,45,Premium,4,2.86,2025-01-23,9,60,240
M00039,2023-11-30,Male,28,Standard,15,1.58,2025-01-08,24,40,600
M00040,2024-03-15,Female,24,Standard,11,1.57,2025-01-17,15,40,440
M00041,2023-12-24,Male,19,Premium,14,3.66,2025-02-01,0,60,840
M00042,2022-07-02,Female,36,Standard,31,1.67,2025-01-11,21,40,1240
M00043,2022-01-11,Male,26,Premium,37,3.78,2025-01-31,1,60,2220
M00044,2023-04-18,Male,35,Weekend,22,1.16,2024-12-24,39,25,550
M00045,2022-01-12,Male,30,Premium,37,3.34,2025-01-23,9,60,2220
M00046,2024-08-16,Female,49,Standard,6,2.77,2025-01-09,23,40,240
M00047,2024-04-09,Female,40,Premium,10,2.91,2025-01-17,15,60,600
M00048,2023-04-30,Female,18,Standard,22,3.03,2025-02-01,0,40,880
M00049,2022-03-30,Female,36,Standard,35,2.66,2025-01-10,22,40,1400
M00050,2022-11-14,Female,30,Premium,27,4.79,2025-01-23,9,60,1620
M00051,2022-02-05,Female,31,Weekend,36,1.23,2024-12-24,39,25,900
M00052,2022-03-03,Male,49,Standard,35,3.47,2025-01-24,8,40,1400
M00053,2024-03-03,Male,34,Weekend,11,1.65,2025-01-18,14,25,275
M00054,2023-04-12,Female,39,Weekend,22,2.45,2025-01-15,17,25,550
M00055,2022-04-03,Female,37,Standard,34,1.55,2025-01-18,14,40,1360
M00056,2022-05-25,Female,18,Weekend,33,1.96,2025-01-13,19,25,825
M00057,2023-10-09,Female,22,Premium,16,4.54,2025-01-24,8,60,960
M00058,2024-07-04,Female,47,Premium,7,2.63,2025-01-19,13,60,420
M00059,2022-07-28,Male,37,Premium,31,3.95,2025-01-30,2,60,1860
M00060,2023-09-03,Male,49,Premium,17,4.5,2025-01-31,1,60,1020
M00061,2023-12-15,Male,31,Premium,14,3.9,2025-01-24,8,60,840
M00062,2022-05-03,Male,44,Premium,33,2.66,2025-01-27,5,60,1980
M00063,2024-02-15,Male,43,Weekend,12,1.89,2025-01-17,15,25,300
M00064,2024-02-07,Male,49,Premium,12,2.65,2025-01-16,16,60,720
M00065,2023-08-19,Male,47,Premium,18,4.54,2025-01-31,1,60,1080
M00066,2024-08-23,Male,44,Standard,6,1.59,2025-01-23,9,40,240
M00067,2022-02-20,Female,43,Premium,36,2.84,2025-01-19,13,60,2160
M00068,2024-07-24,Female,35,Weekend,7,1.05,2025-01-16,16,25,175
M00069,2024-03-31,Male,30,Premium,11,4.08,2025-01-24,8,60,660
M00070,2024-07-30,Male,40,Weekend,7,2.45,2025-01-14,18,25,175
M00071,2024-06-08,Male,29,Standard,8,1.74,2025-01-07,25,40,320
M00072,2024-03-02,Female,32,Premium,11,2.86,2025-01-18,14,60,660
M00073,2024-03-17,Female,41,Premium,11,3.42,2025-01-27,5,60,660
M00074,2023-06-18,Male,21,Weekend,20,2.17,2025-01-12,20,25,500
M00075,2023-06-08,Female,26,Standard,20,2.43,2025-01-12,20,40,800
M00076,2023-04-17,Male,20,Standard,22,2.14,2025-01-22,10,40,880
M00077,2024-01-17,Male,46,Standard,13,2.62,2025-01-19,13,40,520
M00078,2024-09-06,Male,39,Premium,5,3.15,2025-02-01,0,60,300
M00079,2022-10-11,Male,28,Premium,28,3.5,2025-01-29,3,60,1680
M00080,2022-11-09,Male,47,Premium,27,3.33,2025-02-01,0,60,1620
M00081,2022-09-11,Female,32,Weekend,29,2.11,2025-01-26,6,25,725
M00082,2023-06-01,Male,33,Standard,20,3.35,2025-01-27,5,40,800
M00083,2022-06-24,Male,47,Premium,32,4.4,2025-01-29,3,60,1920
M00084,2024-10-02,Male,24,Premium,4,3.6,2025-01-26,6,60,240
M00085,2023-02-20,Male,24,Premium,24,3.76,2025-01-25,7,60,1440
M00086,2023-03-27,Female,39,Premium,23,2.81,2025-01-08,24,60,1380
M00087,2024-11-02,Male,26,Standard,3,2.99,2025-01-10,22,40,120
M00088,2023-08-12,Male,48,Standard,18,2.69,2025-01-10,22,40,720
M00089,2024-10-03,Female,34,Weekend,4,2.3,2025-01-07,25,25,100
M00090,2024-12-31,Male,30,Standard,2,1.9,2025-01-15,17,40,80
M00091,2022-02-02,Male,26,Premium,36,4.4,2025-01-27,5,60,2160
M00092,2024-01-23,Male,46,Standard,13,2.87,2025-01-25,7,40,520
M00093,2024-09-19,Male,26,Standard,5,2.03,2025-01-12,20,40,200
M00094,2023-11-24,Female,37,Standard,15,2.83,2025-01-10,22,40,600
M00095,2024-06-18,Male,46,Standard,8,3.35,2025-01-29,3,40,320
M00096,2023-05-06,Male,45,Standard,21,3.34,2025-01-27,5,40,840
M00097,2024-04-16,Female,48,Standard,10,2.94,2025-01-23,9,40,400
M00098,2024-03-24,Male,29,Standard,11,1.6,2025-01-27,5,40,440
M00099,2022-07-14,Male,49,Premium,31,4.68,2025-01-22,10,60,1860
M00100,2022-06-26,Female,38,Premium,32,4.14,2025-01-28,4,60,1920
M00101,2024-12-07,Male,36,Premium,2,3.28,2025-01-31,1,60,120
M00102,2023-11-16,Female,40,Standard,15,1.87,2025-01-14,18,40,600
M00103,2022-08-26,Male,32,Premium,30,2.79,2025-01-07,25,60,1800
M00104,2024-02-16,Female,35,Standard,12,1.6,2025-01-27,5,40,480
M00105,2022-08-31,Male,25,Weekend,30,2.01,2025-01-27,5,25,750
M00106,2024-12-22,Male,42,Premium,2,3.09,2025-01-22,10,60,120
M00107,2023-08-31,Female,23,Standard,18,1.55,2025-01-23,9,40,720
M00108,2023-10-16,Male,42,Standard,16,2.29,2025-01-26,6,40,640
M00109,2022-05-15,Female,23,Premium,33,3.71,2025-01-30,2,60,1980
M00110,2022-06-12,Female,20,Premium,32,2.92,2025-01-07,25,60,1920
M00111,2022-10-22,Female,43,Premium,28,2.61,2025-01-20,12,60,1680
M00112,2024-10-02,Female,20,Premium,4,2.97,2025-01-15,17,60,240
M00113,2023-03-26,Male,19,Weekend,23,1.86,2025-01-21,11,25,575
M00114,2022-01-13,Female,22,Weekend,37,0.66,2025-01-05,27,25,925
M00115,2022-01-26,Male,46,Standard,37,2.61,2025-01-08,24,40,1480
M00116,2023-03-14,Male,47,Weekend,23,0.79,2025-01-17,15,25,575
M00117,2022-12-05,Female,37,Weekend,26,0.89,2025-01-15,17,25,650
M00118,2024-12-12,Female,29,Premium,2,3.48,2025-02-01,0,60,120
M00119,2023-04-14,Male,23,Weekend,22,0.7,2025-01-17,15,25,550
M00120,2023-06-18,Female,33,Standard,20,1.85,2025-01-12,20,40,800
M00121,2024-09-03,Male,22,Weekend,5,1.2,2024-12-31,32,25,125
M00122,2024-06-07,Female,49,Weekend,8,1.16,2024-12-29,34,25,200
M00123,2023-09-13,Male,23,Premium,17,4.37,2025-01-28,4,60,1020
M00124,2022-09-19,Male,21,Premium,29,2.69,2025-01-14,18,60,1740
M00125,2023-01-09,Female,31,Premium,25,4.65,2025-01-22,10,60,1500
M00126,2023-08-22,Male,46,Standard,18,3.13,2025-01-29,3,40,720
M00127,2022-07-16,Male,20,Weekend,31,2.03,2025-01-27,5,25,775
M00128,2023-07-01,Female,34,Weekend,19,1.12,2025-01-07,25,25,475
M00129,2024-10-10,Female,22,Premium,4,4.56,2025-01-23,9,60,240
M00130,2022-09-06,Female,39,Standard,29,1.87,2025-01-12,20,40,1160
M00131,2022-09-13,Female,38,Standard,29,1.75,2025-01-21,11,40,1160
M00132,2023-08-16,Female,38,Premium,18,2.61,2025-01-26,6,60,1080
M00133,2022-08-28,Male,45,Premium,30,4.85,2025-01-26,6,60,1800
M00134,2022-12-21,Male,23,Premium,26,3.27,2025-01-24,8,60,1560
M00135,2023-09-04,Female,37,Weekend,17,2.34,2025-01-22,10,25,425
M00136,2024-12-13,Male,47,Premium,2,3.18,2025-01-30,2,60,120
M00137,2022-10-18,Male,45,Standard,28,3.32,2025-01-29,3,40,1120
M00138,2024-03-23,Male,21,Standard,11,3.31,2025-01-26,6,40,440
M00139,2023-11-23,Male,44,Premium,15,4.81,2025-02-01,0,60,900
M00140,2023-07-01,Male,30,Weekend,19,1.49,2025-01-15,17,25,475
M00141,2023-04-28,Female,25,Weekend,22,2.23,2025-01-21,11,25,550
M00142,2022-12-26,Female,28,Premium,26,4.88,2025-01-29,3,60,1560
M00143,2022-12-02,Male,41,Standard,26,2.15,2025-01-23,9,40,1040
M00144,2022-11-16,Male,45,Premium,27,3.55,2025-01-27,5,60,1620
M00145,2023-07-08,Female,36,Premium,19,4.3,2025-01-29,3,60,1140
M00146,2024-10-19,Female,40,Premium,4,3.25,2025-01-26,6,60,240
M00147,2022-06-11,Female,48,Standard,32,3.01,2025-01-29,3,40,1280
M00148,2022-02-26,Female,22,Standard,36,1.65,2025-01-12,20,40,1440
M00149,2023-07-25,Male,22,Premium,19,3.81,2025-01-24,8,60,1140
M00150,2022-06-28,Female,45,Premium,32,2.81,2025-01-21,11,60,1920
M00151,2022-11-03,Female,46,Weekend,27,1.09,2025-01-19,13,25,675
M00152,2022-02-25,Male,20,Premium,36,3.15,2025-01-29,3,60,2160
M00153,2022-01-06,Female,19,Premium,37,4.6,2025-01-26,6,60,2220
M00154,2023-03-25,Female,46,Standard,23,1.89,2025-01-20,12,40,920
M00155,2023-11-06,Female,20,Weekend,15,2.12,2025-01-14,18,25,375
M00156,2024-08-02,Female,32,Premium,6,4.48,2025-01-31,1,60,360
M00157,2022-07-12,Female,24,Standard,31,2.5,2025-01-16,16,40,1240
M00158,2023-09-14,Male,20,Standard,17,1.97,2025-01-24,8,40,680
M00159,2022-05-03,Male,49,Premium,33,3.07,2025-01-30,2,60,1980
M00160,2022-04-09,Male,32,Standard,34,2.43,2025-01-19,13,40,1360
M00161,2022-12-12,Male,28,Premium,26,2.52,2025-01-17,15,60,1560
M00162,2024-04-13,Male,33,Standard,10,2.56,2025-01-15,17,40,400
M00163,2022-11-07,Female,30,Standard,27,3.41,2025-01-25,7,40,1080
M00164,2022-09-14,Female,19,Standard,29,1.81,2025-01-27,5,40,1160
M00165,2024-12-30,Female,37,Premium,2,3.93,2025-02-01,0,60,120
M00166,2023-04-27,Female,29,Weekend,22,2.42,2025-01-20,12,25,550
M00167,2024-03-25,Female,38,Premium,11,4.65,2025-01-25,7,60,660
M00168,2024-12-14,Female,46,Premium,2,4.63,2025-01-23,9,60,120
M00169,2023-08-30,Female,24,Premium,18,4.55,2025-01-26,6,60,1080
M00170,2022-05-30,Female,18,Standard,33,2.12,2025-01-09,23,40,1320
M00171,2023-05-21,Female,31,Standard,21,3.28,2025-01-27,5,40,840
M00172,2022-11-08,Female,41,Premium,27,4.85,2025-01-27,5,60,1620
M00173,2024-12-20,Female,27,Standard,2,2.49,2025-01-27,5,40,80
M00174,2024-08-03,Female,20,Premium,6,3.39,2025-01-23,9,60,360
M00175,2023-01-04,Female,47,Standard,25,2.33,2025-01-07,25,40,1000
M00176,2024-01-12,Male,28,Premium,13,3.34,2025-01-23,9,60,780
M00177,2024-09-07,Female,39,Standard,5,1.92,2025-01-21,11,40,200
M00178,2023-02-10,Male,37,Premium,24,4.05,2025-01-23,9,60,1440
M00179,2024-08-14,Female,47,Weekend,6,1.63,2025-01-21,11,25,150
M00180,2023-01-23,Female,38,Premium,25,3.66,2025-01-23,9,60,1500
M00181,2024-11-12,Female,43,Premium,3,2.74,2025-01-25,7,60,180
M00182,2024-05-16,Male,45,Premium,9,4.49,2025-01-27,5,60,540
M00183,2023-10-30,Male,32,Weekend,16,0.85,2025-01-22,10,25,400
M00184,2023-12-14,Female,23,Weekend,14,0.73,2025-01-05,27,25,350
M00185,2024-07-23,Female,35,Premium,7,4.06,2025-01-30,2,60,420
M00186,2022-04-21,Female,30,Standard,34,2.3,2025-01-23,9,40,1360
M00187,2024-07-28,Female,32,Weekend,7,0.62,2025-01-22,10,25,175
M00188,2024-08-17,Male,20,Standard,6,2.21,2025-01-17,15,40,240
M00189,2022-06-26,Male,32,Standard,32,3.04,2025-01-24,8,40,1280
M00190,2022-08-20,Female,41,Premium,30,4.04,2025-01-28,4,60,1800
M00191,2023-11-07,Male,41,Premium,15,3.41,2025-01-29,3,60,900
M00192,2024-05-17,Male,18,Weekend,9,0.88,2025-01-12,20,25,225
M00193,2023-03-02,Female,27,Weekend,23,1.76,2025-01-21,11,25,575
M00194,2024-09-04,Female,41,Standard,5,3.28,2025-01-26,6,40,200
M00195,2024-07-15,Female,44,Premium,7,4.12,2025-01-23,9,60,420
M00196,2024-10-03,Male,35,Premium,4,4.53,2025-01-26,6,60,240
M00197,2023-06-07,Female,43,Standard,20,2.54,2025-01-23,9,40,800
M00198,2023-05-16,Male,43,Weekend,21,1.94,2025-01-22,10,25,525
M00199,2022-04-04,Female,46,Weekend,34,2.29,2025-01-18,14,25,850
M00200,2022-03-19,Female,25,Standard,35,3.05,2025-01-30,2,40,1400
M00201,2022-09-09,Male,29,Standard,29,3.32,2025-01-23,9,40,1160
M00202,2024-08-06,Male,43,Premium,6,3.58,2025-01-28,4,60,360
M00203,2024-11-25,Male,22,Premium,3,4.76,2025-01-30,2,60,180
M00204,2023-03-06,Male,18,Weekend,23,1.74,2025-01-10,22,25,575
M00205,2022-06-29,Male,25,Standard,32,3.24,2025-01-22,10,40,1280
M00206,2024-01-03,Male,45,Premium,13,2.6,2025-01-23,9,60,780
M00207,2022-06-08,Female,22,Premium,32,4.14,2025-01-30,2,60,1920
M00208,2023-08-20,Male,48,Standard,18,3.2,2025-01-31,1,40,720
M00209,2024-06-20,Male,34,Premium,8,2.94,2025-01-21,11,60,480
M00210,2022-08-18,Female,32,Premium,30,4.15,2025-01-28,4,60,1800
M00211,2024-09-26,Male,21,Standard,5,3.15,2025-01-30,2,40,200
M00212,2023-12-03,Male,30,Standard,14,2.08,2025-01-10,22,40,560
M00213,2022-06-30,Female,34,Standard,32,2.31,2025-01-17,15,40,1280
M00214,2022-08-28,Female,30,Premium,30,3.92,2025-01-25,7,60,1800
M00215,2023-01-13,Female,42,Standard,25,2.54,2025-01-07,25,40,1000
M00216,2024-03-26,Male,43,Premium,11,2.6,2025-01-18,14,60,660
M00217,2022-08-30,Female,19,Premium,30,2.75,2025-01-18,14,60,1800
M00218,2022-07-15,Male,41,Standard,31,1.7,2025-01-10,22,40,1240
M00219,2024-09-14,Female,21,Standard,5,2.02,2025-01-08,24,40,200
M00220,2024-05-03,Male,42,Weekend,9,0.99,2024-12-31,32,25,225
M00221,2024-10-21,Female,19,Standard,4,2.98,2025-01-21,11,40,160
M00222,2023-09-19,Female,29,Standard,17,2.65,2025-01-09,23,40,680
M00223,2023-08-19,Female,36,Premium,18,4.41,2025-01-26,6,60,1080
M00224,2022-12-17,Male,35,Premium,26,2.67,2025-01-11,21,60,1560
M00225,2023-05-06,Male,27,Premium,21,3.71,2025-01-28,4,60,1260
M00226,2024-08-28,Female,47,Premium,6,3.31,2025-01-28,4,60,360
M00227,2024-05-23,Female,22,Weekend,9,2.2,2025-01-27,5,25,225
M00228,2023-12-05,Female,28,Premium,14,4.27,2025-01-29,3,60,840
M00229,2022-05-12,Female,18,Weekend,33,2.24,2025-01-23,9,25,825
M00230,2024-04-15,Male,45,Standard,10,1.59,2025-01-18,14,40,400
M00231,2024-08-14,Female,20,Standard,6,2.94,2025-01-22,10,40,240
M00232,2023-09-22,Female,34,Standard,17,2.58,2025-01-09,23,40,680
M00233,2022-01-16,Male,43,Standard,37,3.15,2025-01-24,8,40,1480
M00234,2024-07-03,Male,32,Standard,7,2.51,2025-01-23,9,40,280
M00235,2024-08-04,Female,31,Premium,6,3.85,2025-01-23,9,60,360
M00236,2024-02-16,Female,41,Standard,12,1.6,2025-01-25,7,40,480
M00237,2023-11-28,Male,32,Premium,15,4.17,2025-01-28,4,60,900
M00238,2023-12-29,Male,33,Premium,14,3.18,2025-01-31,1,60,840
M00239,2024-12-20,Female,45,Standard,2,1.54,2025-01-24,8,40,80
M00240,2024-10-04,Male,21,Premium,4,2.67,2025-01-23,9,60,240
M00241,2023-04-11,Male,36,Weekend,22,2.41,2025-01-19,13,25,550
M00242,2022-10-03,Female,41,Weekend,28,1.19,2024-12-31,32,25,700
M00243,2022-01-28,Female,46,Weekend,37,2.24,2025-01-10,22,25,925
M00244,2022-12-11,Male,42,Premium,26,4.9,2025-02-01,0,60,1560
M00245,2023-09-07,Female,25,Premium,17,4.86,2025-01-24,8,60,1020
M00246,2023-02-13,Female,23,Weekend,24,2.26,2025-01-20,12,25,600
M00247,2024-06-28,Female,33,Standard,8,3.29,2025-01-26,6,40,320
M00248,2024-08-03,Female,49,Weekend,6,1.08,2025-01-02,30,25,150
M00249,2022-03-29,Female,47,Weekend,35,0.8,2025-01-08,24,25,875
M00250,2022-05-21,Male,48,Weekend,33,1.78,2025-01-14,18,25,825
M00251,2023-03-09,Male,20,Premium,23,3.72,2025-01-24,8,60,1380
M00252,2023-12-07,Female,25,Premium,14,2.75,2025-01-25,7,60,840
M00253,2022-07-27,Female,46,Weekend,31,1.86,2025-01-10,22,25,775
M00254,2023-05-23,Female,22,Premium,21,3.91,2025-01-29,3,60,1260
M00255,2023-12-26,Male,22,Premium,14,4.66,2025-01-25,7,60,840
M00256,2024-11-18,Male,29,Standard,3,2.72,2025-01-26,6,40,120
M00257,2022-10-22,Male,42,Weekend,28,1.65,2025-01-18,14,25,700
M00258,2023-10-11,Male,18,Standard,16,2.38,2025-01-10,22,40,640
M00259,2022-07-09,Female,24,Standard,31,2.43,2025-01-25,7,40,1240
M00260,2024-02-26,Female,41,Premium,12,4.89,2025-01-30,2,60,720
M00261,2023-01-07,Male,28,Standard,25,1.78,2025-01-19,13,40,1000
M00262,2022-02-21,Male,27,Weekend,36,1.39,2025-01-13,19,25,900
M00263,2023-12-26,Female,20,Premium,14,4.14,2025-01-27,5,60,840
M00264,2024-02-10,Female,25,Standard,12,2.37,2025-01-11,21,40,480
M00265,2024-03-06,Female,18,Weekend,11,1.07,2025-01-02,30,25,275
M00266,2023-03-30,Female,25,Standard,23,2.07,2025-01-09,23,40,920
M00267,2024-03-09,Female,40,Standard,11,1.97,2025-01-13,19,40,440
M00268,2024-03-17,Male,37,Standard,11,2.19,2025-01-21,11,40,440
M00269,2024-06-08,Female,49,Premium,8,4.68,2025-01-26,6,60,480
M00270,2022-08-07,Male,28,Premium,30,3.76,2025-01-22,10,60,1800
M00271,2024-06-13,Male,24,Weekend,8,0.98,2025-01-02,30,25,200
M00272,2024-10-30,Female,43,Weekend,4,1.27,2025-01-10,22,25,100
M00273,2022-08-03,Male,47,Weekend,30,0.71,2024-12-30,33,25,750
M00274,2024-01-02,Male,44,Weekend,13,2.31,2025-01-27,5,25,325
M00275,2023-09-11,Female,33,Standard,17,2.32,2025-01-15,17,40,680
M00276,2024-08-13,Male,24,Standard,6,3.46,2025-01-28,4,40,240
M00277,2024-04-10,Female,30,Standard,10,2.2,2025-01-20,12,40,400
M00278,2023-07-18,Female,27,Standard,19,3.17,2025-01-24,8,40,760
M00279,2023-01-05,Male,46,Standard,25,2.01,2025-01-22,10,40,1000
M00280,2023-08-13,Female,45,Standard,18,1.65,2025-01-15,17,40,720
M00281,2023-12-23,Female,34,Weekend,14,0.56,2024-12-29,34,25,350
M00282,2024-10-31,Male,20,Premium,4,4.02,2025-01-27,5,60,240
M00283,2024-06-27,Female,24,Premium,8,3.28,2025-01-29,3,60,480
M00284,2023-04-06,Male,28,Premium,22,3.61,2025-01-25,7,60,1320
M00285,2023-09-04,Male,30,Standard,17,3.14,2025-01-23,9,40,680
M00286,2022-06-22,Female,22,Premium,32,3.12,2025-02-01,0,60,1920
M00287,2023-08-08,Male,42,Standard,18,2.12,2025-01-13,19,40,720
M00288,2022-10-14,Female,40,Standard,28,3.19,2025-01-29,3,40,1120
M00289,2023-10-10,Male,36,Premium,16,3.73,2025-01-31,1,60,960
M00290,2024-09-01,Female,32,Standard,5,3.16,2025-01-27,5,40,200
M00291,2024-04-03,Female,18,Premium,10,3.44,2025-01-24,8,60,600
M00292,2022-07-12,Male,22,Premium,31,3.5,2025-01-31,1,60,1860
M00293,2024-12-16,Male,49,Weekend,2,0.83,2025-01-11,21,25,50
M00294,2023-05-17,Female,47,Premium,21,4.79,2025-01-28,4,60,1260
M00295,2024-04-28,Female,48,Premium,10,4.74,2025-01-29,3,60,600
M00296,2023-11-26,Male,30,Standard,15,3.47,2025-01-28,4,40,600
M00297,2023-05-19,Female,27,Standard,21,2.3,2025-01-26,6,40,840
M00298,2024-10-01,Female,46,Premium,4,4.55,2025-01-24,8,60,240
M00299,2022-02-19,Male,22,Standard,36,2.33,2025-01-10,22,40,1440
M00300,2023-02-14,Male,40,Premium,24,3.64,2025-01-22,10,60,1440
M00301,2022-12-11,Female,47,Premium,26,4.57,2025-01-31,1,60,1560
M00302,2024-01-24,Male,18,Standard,13,1.85,2025-01-23,9,40,520
M00303,2023-05-30,Male,27,Standard,21,1.94,2025-01-15,17,40,840
M00304,2022-09-15,Female,35,Standard,29,2.13,2025-01-26,6,40,1160
M00305,2024-08-31,Male,44,Standard,6,3.08,2025-01-25,7,40,240
M00306,2022-01-04,Male,39,Weekend,37,1.25,2025-01-09,23,25,925
M00307,2024-10-07,Female,25,Standard,4,2.22,2025-01-18,14,40,160
M00308,2023-12-17,Male,37,Premium,14,5.0,2025-01-24,8,60,840
M00309,2022-01-12,Female,20,Standard,37,2.27,2025-01-11,21,40,1480
M00310,2022-05-05,Male,36,Premium,33,3.12,2025-01-29,3,60,1980
M00311,2023-04-23,Male,49,Standard,22,2.75,2025-01-09,23,40,880
M00312,2023-07-19,Female,36,Premium,19,4.5,2025-02-01,0,60,1140
M00313,2023-07-31,Male,19,Premium,19,2.67,2025-01-26,6,60,1140
M00314,2023-12-28,Male,34,Weekend,14,1.74,2025-01-18,14,25,350
M00315,2023-12-25,Male,48,Weekend,14,0.57,2025-01-12,20,25,350
M00316,2023-06-28,Male,33,Standard,20,2.55,2025-01-19,13,40,800
M00317,2023-01-31,Male,38,Standard,25,2.01,2025-01-21,11,40,1000
M00318,2022-03-03,Male,27,Premium,35,3.27,2025-01-23,9,60,2100
M00319,2022-02-09,Female,38,Premium,36,3.67,2025-01-27,5,60,2160
M00320,2022-03-20,Male,33,Premium,35,4.82,2025-01-22,10,60,2100
M00321,2023-06-06,Male,22,Standard,20,2.92,2025-01-12,20,40,800
M00322,2024-04-21,Female,37,Standard,10,3.37,2025-01-28,4,40,400
M00323,2022-11-14,Female,48,Standard,27,2.82,2025-01-24,8,40,1080
M00324,2023-12-31,Female,20,Premium,14,2.52,2025-01-22,10,60,840
M00325,2023-04-19,Male,45,Weekend,22,1.03,2024-12-30,33,25,550
M00326,2024-01-16,Female,20,Standard,13,3.31,2025-01-27,5,40,520
M00327,2023-01-05,Female,19,Standard,25,2.79,2025-01-16,16,40,1000
M00328,2023-03-23,Male,38,Standard,23,3.46,2025-01-24,8,40,920
M00329,2022-02-03,Female,21,Standard,36,1.81,2025-01-16,16,40,1440
M00330,2023-07-28,Male,49,Premium,19,3.24,2025-01-28,4,60,1140
M00331,2022-08-07,Male,49,Premium,30,3.41,2025-01-28,4,60,1800
M00332,2024-08-08,Male,39,Standard,6,2.15,2025-01-26,6,40,240
M00333,2022-03-18,Male,35,Premium,35,3.13,2025-01-30,2,60,2100
M00334,2023-04-26,Male,19,Premium,22,3.61,2025-01-27,5,60,1320
M00335,2023-12-04,Female,41,Premium,14,4.11,2025-01-22,10,60,840
M00336,2024-03-03,Male,23,Premium,11,3.28,2025-01-31,1,60,660
M00337,2023-06-22,Female,20,Weekend,20,0.66,2025-01-06,26,25,500
M00338,2024-11-29,Male,38,Standard,3,2.92,2025-01-27,5,40,120
M00339,2023-03-11,Female,20,Standard,23,2.42,2025-01-10,22,40,920
M00340,2024-09-05,Male,44,Premium,5,3.89,2025-01-30,2,60,300
M00341,2024-04-16,Male,19,Standard,10,2.41,2025-01-17,15,40,400
M00342,2022-03-11,Male,49,Standard,35,3.28,2025-01-23,9,40,1400
M00343,2024-10-02,Female,20,Premium,4,3.9,2025-01-28,4,60,240
M00344,2024-12-05,Female,34,Standard,2,3.35,2025-01-29,3,40,80
M00345,2024-11-29,Female,31,Premium,3,3.78,2025-01-25,7,60,180
M00346,2023-09-26,Male,24,Standard,17,2.09,2025-01-10,22,40,680
M00347,2023-08-29,Male,39,Standard,18,2.21,2025-01-23,9,40,720
M00348,2022-03-14,Female,38,Premium,35,3.81,2025-01-25,7,60,2100
M00349,2023-04-28,Male,23,Premium,22,3.82,2025-01-23,9,60,1320
